DOY_Cont,Label,Depth,SM_%
323.14583333,SM_Depth_3,0.2,11.8
323.14583333,SM_Depth_4,0.5,11.2
323.14583333,SM_Depth_5,1,9.8
323.14583333,SM_Depth_7,2.5,4.8
323.14583333,SM_Depth_6,2,7.3
323.14583333,SM_Depth_8,2.7,5.4
323.14583333,SM_Depth_9,3,11.2
323.15625,SM_Depth_1,0.05,14.1
323.15625,SM_Depth_2,0.1,13.7
323.15625,SM_Depth_3,0.2,11.8
323.15625,SM_Depth_4,0.5,11.2
323.15625,SM_Depth_5,1,9.8
323.15625,SM_Depth_7,2.5,4.8
323.15625,SM_Depth_6,2,7.3
323.15625,SM_Depth_8,2.7,5.4
323.15625,SM_Depth_9,3,11.2
323.16666667,SM_Depth_1,0.05,14.1
323.16666667,SM_Depth_2,0.1,13.7
323.16666667,SM_Depth_3,0.2,11.8
323.16666667,SM_Depth_4,0.5,11.2
323.16666667,SM_Depth_5,1,9.8
323.16666667,SM_Depth_7,2.5,4.8
323.16666667,SM_Depth_6,2,7.3
323.16666667,SM_Depth_8,2.7,5.4
323.16666667,SM_Depth_9,3,11.2
323.17708333,SM_Depth_1,0.05,14.2
323.17708333,SM_Depth_2,0.1,13.7
323.17708333,SM_Depth_3,0.2,11.8
323.17708333,SM_Depth_4,0.5,11.2
323.17708333,SM_Depth_5,1,9.8
323.17708333,SM_Depth_7,2.5,4.8
323.17708333,SM_Depth_6,2,7.3
323.17708333,SM_Depth_8,2.7,5.4
323.17708333,SM_Depth_9,3,11.2
323.1875,SM_Depth_1,0.05,14.1
323.1875,SM_Depth_2,0.1,13.7
323.1875,SM_Depth_3,0.2,11.8
323.1875,SM_Depth_4,0.5,11.2
323.1875,SM_Depth_5,1,9.8
323.1875,SM_Depth_7,2.5,4.8
323.1875,SM_Depth_6,2,7.3
323.1875,SM_Depth_8,2.7,5.4
323.1875,SM_Depth_9,3,11.2
323.19791667,SM_Depth_1,0.05,14.1
323.19791667,SM_Depth_2,0.1,13.7
323.19791667,SM_Depth_3,0.2,11.8
323.19791667,SM_Depth_4,0.5,11.2
323.19791667,SM_Depth_5,1,9.8
323.19791667,SM_Depth_7,2.5,4.8
323.19791667,SM_Depth_6,2,7.3
323.19791667,SM_Depth_8,2.7,5.4
