trel,Campaign,State,GPP13,GPP13_cumsum
10.25,drought,post-pulse,-0.022435637659462025,3.634045601204993
10.5,drought,post-pulse,0.00634388630224465,3.639755098877013
10.75,drought,post-pulse,-0.016325067667260117,3.6250625379764787
11,drought,post-pulse,0.0018302307485818577,3.6267097456502024
11.25,drought,post-pulse,0.008718247751648651,3.6345561686266863
11.5,drought,post-pulse,-0.0039361789626709675,3.6310136075602824
11.75,drought,post-pulse,0.004780821079638412,3.635316346531957
12,drought,post-pulse,0.012315604514103953,3.6464003905946503
12.25,drought,post-pulse,-0.015831088089099707,3.6321524113144608
12.5,drought,post-pulse,0.00836119175621804,3.6396774838950567
12.75,drought,post-pulse,0.004694813458796821,3.6439028160079743
13,drought,post-pulse,-0.0132279194959517,3.6319976884616176
13.25,drought,post-pulse,0.018787468071409633,3.6489064097258863
13.5,drought,post-pulse,-0.0076400971124912145,3.642030322324644
13.75,drought,post-pulse,0.01092300817611345,3.6518610296831464
14,drought,post-pulse,-0.011420749975771267,3.641582354704952
14.25,drought,post-pulse,0.023944169157466975,3.6631321069466725
14.5,drought,post-pulse,-0.009023655708399017,3.655010816809113
14.75,drought,post-pulse,NA,NA
