trel,Campaign,State,GPP13,GPP13_cumsum
-0.1,ambient,pulse,0,0
-0.1,drought,pulse,0,0
0,ambient,pulse,0.30456825621600114,0.274111430594401
0.25,ambient,pulse,0.38024078076334134,0.6163281332814081
0.5,ambient,pulse,0.46796560635468987,1.037497179000629
0.75,ambient,pulse,0.5059346369350455,1.49283835224217
1,ambient,pulse,0.5548494256993914,1.9922028353716223
1.25,ambient,pulse,0.438229069805947,2.3866089981969747
1.5,ambient,pulse,0.5154825428780389,2.8505432867872096
1.75,ambient,pulse,0.4289907771383296,3.236634986211706
2,ambient,pulse,0.4099615866493299,3.605600414196103
2.25,ambient,pulse,0.4446553499907016,4.005790229187735
2.5,ambient,pulse,0.40044974744615564,4.366195001889275
2.75,ambient,pulse,0.4469832722527067,4.7684799469167105
3,ambient,pulse,0.39744726850215056,5.126182488568646
3.25,ambient,pulse,0.3234964424372271,5.4173292867621505
3.5,ambient,pulse,0.33425195510830835,5.718156046359628
3.75,ambient,pulse,0.30990989259166496,5.997074949692126
4,ambient,pulse,0.25799682689048914,6.229272093893567
4.25,ambient,post-pulse,0.3260457749466933,6.522713291345591
4.5,ambient,post-pulse,0.17927414750618167,6.6840600241011545
4.75,ambient,post-pulse,0.20943575846268317,6.872552206717569
5,ambient,post-pulse,0.19781047137458943,7.050581630954699
5.25,ambient,post-pulse,0.20505233977417156,7.235128736751454
5.5,ambient,post-pulse,0.18293785384366437,7.399772805210752
5.75,ambient,post-pulse,0.20144375702843226,7.581072186536341
6,ambient,post-pulse,0.20658745425241065,7.767000895363511
6.25,ambient,post-pulse,0.20004240323076802,7.947039058271201
6.5,ambient,post-pulse,0.17237536106326942,8.102176883228145
6.75,ambient,post-pulse,0.17614055384559124,8.260703381689176
7,ambient,post-pulse,0.17672899278195217,8.419759475192933
7.25,ambient,post-pulse,0.15078686051771267,8.555467649658874
7.5,ambient,post-pulse,0.17884717933913286,8.716430111064094
7.75,ambient,post-pulse,0.15030542507069639,8.85170499362772
8,ambient,post-pulse,0.1511141954558505,8.987707769537986
8.25,ambient,post-pulse,0.18126701167866605,9.150848080048785
8.5,ambient,post-pulse,0.11901423905366434,9.257960895197083
8.75,ambient,post-pulse,0.13119920005769717,9.376040175249011
9,ambient,post-pulse,0.12381737257388431,9.487475810565508
9.25,ambient,post-pulse,0.11549051266089166,9.59141727196031
9.5,ambient,post-pulse,0.0958448230723265,9.677677612725404
9.75,ambient,post-pulse,0.06985896227813368,9.740550678775724
10,ambient,post-pulse,0.06091415922058615,9.79537342207425
10.25,ambient,post-pulse,0.04667873967092075,9.83738428777808
10.5,ambient,post-pulse,-0.0041821794954399315,9.833620326232184
10.75,ambient,post-pulse,-0.021252175328518617,9.814493368436517
11,ambient,post-pulse,0.05076298043326529,9.860180050826456
11.25,ambient,post-pulse,0.03476398412564512,9.891467636539536
11.5,ambient,post-pulse,0.028339369485309348,9.916973069076315
11.75,ambient,post-pulse,0.03441847323418765,9.947949694987084
12,ambient,post-pulse,0.037150760114644105,9.981385379090264
12.25,ambient,post-pulse,0.02744197266957762,10.006083154492883
12.5,ambient,post-pulse,0.027748119892871386,10.031056462396467
12.75,ambient,post-pulse,0.016141865543556615,10.04558414138567
13,ambient,post-pulse,0.013480237684479982,10.0577163553017
13.25,ambient,post-pulse,0.024979319516762525,10.080197742866787
13.5,ambient,post-pulse,0.01436102292507246,10.093122663499352
13.75,ambient,post-pulse,0.029583056245710608,10.119747414120491
14,ambient,post-pulse,0.003685910335998815,10.123064733422892
14.25,ambient,post-pulse,0.012910495707787436,10.1346841795599
14.5,ambient,post-pulse,0.01121275906891424,10.144775662721923
14.75,ambient,post-pulse,0.006256980743707058,10.150406945391259
15,ambient,post-pulse,-0.0075708170433313945,10.143593210052261
15.25,ambient,post-pulse,0.012933189196861839,10.155233080329436
15.5,ambient,post-pulse,-0.018033029334612136,10.139003353928285
15.75,ambient,post-pulse,-0.004391778209914273,10.135050753539362
0,drought,pulse,0.14424475160893196,0.12982027644803876
0.25,drought,pulse,0.1266438344136409,0.24379972742031558
0.5,drought,pulse,0.14977934782557956,0.37860114046333715
0.75,drought,pulse,0.21154161418586953,0.5689885932306198
1,drought,pulse,0.1610733549759956,0.7139546127090157
1.25,drought,pulse,0.22055600683607357,0.912455018861482
1.5,drought,pulse,0.10809159645494308,1.0097374556709309
1.75,drought,pulse,0.16682601884923345,1.1598808726352408
2,drought,pulse,0.18217578114757896,1.3238390756680618
2.25,drought,pulse,0.1479610152620185,1.4570039894038787
2.5,drought,pulse,0.1375180747777792,1.5807702567038797
2.75,drought,pulse,0.1840610102857392,1.746425165961045
3,drought,pulse,0.12185134599529936,1.8560913773568144
3.25,drought,pulse,0.14079454975591646,1.9828064721371392
3.5,drought,pulse,0.12641347479628104,2.0965785994537924
3.75,drought,pulse,0.2173809937577391,2.2922214938357572
4,drought,pulse,0.13693048160927687,2.4154589272841065
4.25,drought,post-pulse,0.18709281954978688,2.5838424648789147
4.5,drought,post-pulse,0.06725581241149789,2.644372696049263
4.75,drought,post-pulse,0.1046452510056267,2.738553421954327
5,drought,post-pulse,0.1637236466372329,2.8859047039278365
5.25,drought,post-pulse,0.10953488805705554,2.9844861031791865
5.5,drought,post-pulse,0.12765210072189398,3.099372993828891
5.75,drought,post-pulse,0.10995628826834705,3.1983336532704034
6,drought,post-pulse,0.07747403363855287,3.268060283545101
6.25,drought,post-pulse,0.10445059165025158,3.3620658160303276
6.5,drought,post-pulse,0.09334561202341143,3.446076866851398
