drel,Strata,Strategy,Campaign,d13C_avg,d13C_sem
3.5,canopy,tolerant,ambient,-12.969068310996324,8.838803163617483
4.5,canopy,tolerant,ambient,-24.58903559500882,7.985001573029086
5.5,canopy,tolerant,ambient,-28.433967160046294,8.114221656543492
6.5,canopy,tolerant,ambient,-24.18348398348935,10.15397666029945
7.5,canopy,tolerant,ambient,-24.230256839117,6.796862469281361
8.5,canopy,tolerant,ambient,-20.10233735551151,7.6514692161806455
9.5,canopy,tolerant,ambient,-27.47292836152587,3.03096180895505
10.5,canopy,tolerant,ambient,-21.950284857705192,4.100188168216649
11.5,canopy,tolerant,ambient,-31.470415171737265,4.626703576297706
12.5,canopy,tolerant,ambient,-38.65798163544234,4.3770074715967136
13.5,canopy,tolerant,ambient,-37.31168966653989,5.429749852198821
14.5,canopy,tolerant,ambient,-31.356331573708218,7.267801803335795
15.5,canopy,tolerant,ambient,-36.47586728902334,6.393516704421893
16.5,canopy,tolerant,ambient,-41.06734873412272,2.3832991272146202
17.5,canopy,tolerant,ambient,-45.6588301792221,5.974338793534711
18.5,canopy,tolerant,ambient,-34.34917041509058,3.223596335683678
19.5,canopy,tolerant,ambient,-29.451673208524536,4.86233657822538
20.5,canopy,tolerant,ambient,-30.52794714086545,8.166573203665253
21.5,canopy,tolerant,ambient,-38.18161924997925,7.176245395036158
22.5,canopy,tolerant,ambient,-31.017100563131415,9.990168546070567
23.5,canopy,tolerant,ambient,-25.587133489646234,5.4289080996853105
24.5,canopy,tolerant,ambient,-30.88953719215027,2.412784545576651
25.5,canopy,tolerant,ambient,-16.723785289583166,1.06985178160287
26.5,canopy,tolerant,ambient,-26.167816940748185,6.305865459944544
27.5,canopy,tolerant,ambient,-23.556809061629544,6.043068973472262
28.5,canopy,tolerant,ambient,-35.2329312515831,7.196673260812389
29.5,canopy,tolerant,ambient,-18.20710139335417,NA
-1.5,understory,sensitive,ambient,-28.542129257735077,2.4709923502695386
-0.5,understory,sensitive,ambient,-27.879309525454612,0.7266080501744384
0.5,understory,sensitive,ambient,156.56398623865195,15.60002346200488
1.5,understory,sensitive,ambient,52.86924170690647,11.063037781260553
2.5,understory,sensitive,ambient,17.67922424245552,9.172567472237018
3.5,understory,sensitive,ambient,6.687942400311438,2.97145938403583
4.5,understory,sensitive,ambient,-4.025009737668379,1.2757844335870663
5.5,understory,sensitive,ambient,-8.873181158939607,2.086539127788348
6.5,understory,sensitive,ambient,-17.769507108079058,2.487971180230995
7.5,understory,sensitive,ambient,-21.85912255456561,2.5350077219350227
8.5,understory,sensitive,ambient,-15.517965859303441,3.3219327296399825
9.5,understory,sensitive,ambient,-25.3986959211529,4.92500249201895
10.5,understory,sensitive,ambient,-20.69104601341515,1.9571680542823295
11.5,understory,sensitive,ambient,-22.598008216455494,0.5190785622569504
12.5,understory,sensitive,ambient,-25.882183897816283,0.231663115127418
13.5,understory,sensitive,ambient,-20.8792342218274,1.439976960571201
14.5,understory,sensitive,ambient,-19.214823845355426,0.4748015146649251
15.5,understory,sensitive,ambient,-28.615517026178516,2.1042790998972833
16.5,understory,sensitive,ambient,-33.46632378021339,0.8161297416585781
17.5,understory,sensitive,ambient,-35.51123566001712,3.5393435700027758
18.5,understory,sensitive,ambient,-32.442950746286435,0.5229924630331889
19.5,understory,sensitive,ambient,-29.074058324911416,2.8926437097621807
20.5,understory,sensitive,ambient,-17.98480546723685,8.10660348211823
21.5,understory,sensitive,ambient,-19.171472101002777,4.413780379696305
22.5,understory,sensitive,ambient,-13.768496943178835,1.6304508972903133
23.5,understory,sensitive,ambient,-11.643428921184585,6.377409123258401
24.5,understory,sensitive,ambient,-25.765649221119496,1.3294202781126407
25.5,understory,sensitive,ambient,-22.745047145424326,3.6888185652519017
26.5,understory,sensitive,ambient,-20.46097938178302,12.521017881298102
27.5,understory,sensitive,ambient,-23.314282208845423,1.1301590969512414
28.5,understory,sensitive,ambient,-22.169602539333198,1.8978962514791757
29.5,understory,sensitive,ambient,-26.77965716513304,6.838950286632403
-1.5,understory,tolerant,ambient,-25.024769492219782,2.0851821016727214
-0.5,understory,tolerant,ambient,-23.724616936927752,1.2866024730406753
0.5,understory,tolerant,ambient,92.36641770808484,28.50072099185765
