drel,Strata,Strategy,Campaign,d13C_avg,d13C_sem
16,canopy,tolerant,ambient,-18.407581688249582,0.9291801737585479
17,canopy,sensitive,ambient,-19.65843263663196,1.081241101019047
17,canopy,tolerant,ambient,-18.6407935325548,0.8340707968265153
18,canopy,sensitive,ambient,-20.065141103129292,0.9937463283097614
18,canopy,tolerant,ambient,-19.020223412414975,1.000142833358038
19,canopy,sensitive,ambient,-20.078653284137218,0.9570322388125848
19,canopy,tolerant,ambient,-19.16549561295896,0.9461996489923776
20,canopy,sensitive,ambient,-20.259635129666357,0.920874479807936
20,canopy,tolerant,ambient,-19.94238751637611,0.5323845923994355
21,canopy,sensitive,ambient,-20.40837974817479,0.8899175651215685
21,canopy,tolerant,ambient,-19.76506523627287,0.8700635979730001
22,canopy,sensitive,ambient,-20.53875317214156,0.8849274641075888
22,canopy,tolerant,ambient,-19.635775743029875,0.8443286516829582
23,canopy,sensitive,ambient,-20.83164146545871,0.8465234444624863
23,canopy,tolerant,ambient,-20.46302320033482,0.8437500016410019
24,canopy,sensitive,ambient,-20.91456820413465,0.8273182489490252
24,canopy,tolerant,ambient,-20.430322233478364,0.58386016846082045
25,canopy,sensitive,ambient,-21.170063381651342,0.8316000028502281
25,canopy,tolerant,ambient,-21.108982231970256,0.36961398831509784
26,canopy,sensitive,ambient,-21.052997098371677,0.7642243512599247
26,canopy,tolerant,ambient,-20.68225986224693,0.8008276372841558
29,canopy,sensitive,ambient,-21.467824200981394,0.7501682800713481
29,canopy,tolerant,ambient,-20.821250891438364,0.7385644987468533
30,canopy,sensitive,ambient,-21.527405862271632,0.7266658993534709
30,canopy,tolerant,ambient,-20.957920065671342,0.7059088111476949
-2,canopy,sensitive,ambient,-25.386796565068458,0.5079114333824527
-2,canopy,tolerant,ambient,-24.10147210465256,0.8169161096621895
-1,canopy,sensitive,ambient,-25.332744388894568,0.5163562449381008
-1,canopy,tolerant,ambient,-24.06693083225889,0.9051495754231339
0,canopy,sensitive,drought,-23.062987555886938,1.146502582839025
0,canopy,tolerant,drought,-20.1366755584197,2.2598096039719273
2,canopy,sensitive,drought,-21.079340099252978,1.4775864929706888
2,canopy,tolerant,drought,-21.031335535488306,1.2449353146389883
3,canopy,sensitive,drought,-18.326293683006174,2.9804374162214566
3,canopy,tolerant,drought,-21.048562601414673,1.1839497509169254
5,canopy,sensitive,drought,-14.004881581088998,4.028181103537508
5,canopy,tolerant,drought,-15.63755517024801,3.24876158850219
6,canopy,sensitive,drought,-13.647793243461837,3.697631028906069
6,canopy,tolerant,drought,-14.144591289328558,3.7885950328600475
7,canopy,sensitive,drought,-12.425850815247788,3.570459531620819
7,canopy,tolerant,drought,-13.745848442153989,3.9798891575257023
8,canopy,sensitive,drought,-12.088551142671573,3.262761446499837
8,canopy,tolerant,drought,-13.907721279745418,3.653348506160382
9,canopy,sensitive,drought,-11.91644494720073,3.0711100270412075
9,canopy,tolerant,drought,-15.024772184304064,2.34083324798787
10,canopy,sensitive,drought,-11.216550434869164,3.055824596178022
10,canopy,tolerant,drought,-14.980787282079515,2.3646090724830184
11,canopy,sensitive,drought,-11.222516335540474,2.9814754906958654
11,canopy,tolerant,drought,-14.774209412370116,2.338114457835741
12,canopy,sensitive,drought,-11.326571253299816,2.8603451868687126
12,canopy,tolerant,drought,-14.957241364242062,1.9898378459467214
13,canopy,sensitive,drought,-11.346206430374822,2.7886777384210584
13,canopy,tolerant,drought,-14.434718018013236,1.649923592944937
14,canopy,sensitive,drought,-12.288381535995061,2.867628187335071
14,canopy,tolerant,drought,-15.526310935735141,1.6977686066016173
15,canopy,sensitive,drought,-12.737463502503141,2.6452619533341166
15,canopy,tolerant,drought,-15.44327468231798,1.4283844119956115
16,canopy,sensitive,drought,-13.203350956366359,2.480941873910753
16,canopy,tolerant,drought,-15.857085998817603,1.504744437069892
17,canopy,sensitive,drought,-13.230691788076339,2.321900740645628
17,canopy,tolerant,drought,-15.954690956325084,1.3242525094213433
18,canopy,sensitive,drought,-13.560886964213346,2.2063313691000674
18,canopy,tolerant,drought,-16.08731073935088,0.9954517540987853
19,canopy,sensitive,drought,-14.684582371789837,1.8451812251894368
19,canopy,tolerant,drought,-17.675687814782908,1.497495093484738
20,canopy,sensitive,drought,-14.628313177543484,1.557333164784059
20,canopy,tolerant,drought,-17.610277469163933,1.5056057210348348
21,canopy,sensitive,drought,-14.735381998270393,1.5238807822448899
21,canopy,tolerant,drought,-17.063076173689016,1.2842350898550507
22,canopy,sensitive,drought,-15.377777837999513,1.5222984625992104
22,canopy,tolerant,drought,-17.038838924159084,1.1620083492446682
23,canopy,sensitive,drought,-14.441366846035587,1.6337218448209951
23,canopy,tolerant,drought,-16.554765535928865,1.3865942594061709
24,canopy,sensitive,drought,-15.447722908925552,1.3632431369327977
24,canopy,tolerant,drought,-16.593431087200152,1.160048882257759
25,canopy,sensitive,drought,-15.816310404445726,1.2867546950472495
25,canopy,tolerant,drought,-17.39041706317115,1.2168893524391409
26,canopy,sensitive,drought,-16.510112077794084,1.1116782150330173
26,canopy,tolerant,drought,-18.0772251427637,1.0524047282560065
27,canopy,sensitive,drought,-16.999681299665603,0.9942644263561505
27,canopy,tolerant,drought,-17.928090686740624,1.1755369056033855
28,canopy,sensitive,drought,-17.301646270902154,0.9939434038289239
28,canopy,tolerant,drought,-18.258682648257384,1.6551208718981834
29,canopy,sensitive,drought,-17.552864780607827,0.9540582250132624
29,canopy,tolerant,drought,-18.975987804002376,1.3833931704168518
30,canopy,sensitive,drought,-17.756591052116544,0.8917686638616978
30,canopy,tolerant,drought,-18.86277544943851,1.2052888446553052
-5,canopy,sensitive,drought,-22.961912445507522,0.737750490574755
-5,canopy,tolerant,drought,-22.261321497014297,0.8490857494669087
-4,canopy,sensitive,drought,-23.23502441791404,0.7254954102384582
-4,canopy,tolerant,drought,-22.601727554833715,0.8714351698645699
-3,canopy,sensitive,drought,-22.989621706575754,0.6609341496690975
-3,canopy,tolerant,drought,-21.97555420363689,0.8320205576330495
-2,canopy,sensitive,drought,-23.0760711473836,0.7151384267767452
-2,canopy,tolerant,drought,-22.334198048134088,0.9363135106363013
-1,canopy,sensitive,drought,-23.20042420352514,0.6692700319655379
-1,canopy,tolerant,drought,-22.333764517677093,0.9942499217071884
