drel,Campaign,d13C
-15.4482638888889,ambient,-9.825254788151806
-15.4065856481481,ambient,-10.125901497566698
-15.3649305555556,ambient,-10.333594667641716
-15.2815972222222,ambient,NA
-15.2399305555556,ambient,NA
-15.1982638888889,ambient,NA
-15.1565972222222,ambient,NA
-15.1149189814815,ambient,NA
-15.0732523148148,ambient,NA
-15.0316087962963,ambient,-9.78183272682752
-14.7815856481481,ambient,NA
-14.7399189814815,ambient,NA
-14.6982407407407,ambient,NA
-14.5315740740741,ambient,NA
-14.4899305555556,ambient,NA
-14.4482523148148,ambient,NA
-14.4065740740741,ambient,NA
-14.3649189814815,ambient,NA
-14.2815856481481,ambient,NA
-14.2399305555556,ambient,NA
-14.1982638888889,ambient,NA
-14.1565740740741,ambient,NA
-14.1149305555556,ambient,NA
-14.0732638888889,ambient,NA
-13.573275462963,ambient,NA
-13.5316087962963,ambient,NA
-13.4899074074074,ambient,NA
-13.4482523148148,ambient,NA
-13.4065740740741,ambient,NA
-13.3649189814815,ambient,NA
-13.2815972222222,ambient,NA
-13.2399305555556,ambient,NA
-13.1982407407407,ambient,NA
-13.1565972222222,ambient,NA
-13.1149305555556,ambient,NA
-13.0732638888889,ambient,NA
-13.0315972222222,ambient,NA
-12.9899189814815,ambient,NA
-12.9482407407407,ambient,NA
-12.9065972222222,ambient,NA
-12.8649189814815,ambient,NA
-12.8232523148148,ambient,NA
-12.7815972222222,ambient,NA
-12.7399189814815,ambient,NA
-12.6982523148148,ambient,NA
-12.6565740740741,ambient,NA
-12.6149189814815,ambient,NA
-12.5732407407407,ambient,NA
-12.5315972222222,ambient,NA
-12.4899189814815,ambient,NA
-12.4482407407407,ambient,NA
-12.4066087962963,ambient,NA
-12.3649305555556,ambient,NA
-12.2815972222222,ambient,NA
-12.2399305555556,ambient,NA
-12.1982523148148,ambient,NA
-12.1565972222222,ambient,NA
-12.1149305555556,ambient,NA
-12.0732523148148,ambient,NA
-12.0315856481481,ambient,NA
-11.9899305555556,ambient,NA
-11.5732523148148,ambient,NA
-11.5315972222222,ambient,NA
-11.4899189814815,ambient,NA
-11.4482523148148,ambient,NA
-11.4065856481481,ambient,NA
-11.3649189814815,ambient,NA
-11.2815856481481,ambient,NA
-11.2399189814815,ambient,NA
-11.1982523148148,ambient,NA
-11.1565972222222,ambient,NA
-11.1149305555556,ambient,NA
-11.0732638888889,ambient,NA
-11.0315856481481,ambient,NA
-10.9899305555556,ambient,NA
-10.8232523148148,ambient,NA
-10.7815972222222,ambient,NA
-10.7399305555556,ambient,NA
-10.6982638888889,ambient,NA
-10.6565740740741,ambient,NA
-10.6149305555556,ambient,NA
-10.5732523148148,ambient,NA
-10.5315972222222,ambient,NA
-10.4899305555556,ambient,NA
-10.4482523148148,ambient,NA
-10.4065856481481,ambient,NA
-10.3649305555556,ambient,NA
-10.2815856481481,ambient,NA
-10.2399305555556,ambient,NA
-10.1982638888889,ambient,NA
-10.1565856481481,ambient,NA
-10.1149305555556,ambient,NA
-10.0732407407407,ambient,NA
-9.86491898148148,ambient,NA
-9.5316087962963,ambient,NA
-9.48993055555556,ambient,NA
-9.44826388888889,ambient,NA
-9.40659722222222,ambient,NA
-9.36493055555556,ambient,NA
-9.2816087962963,ambient,NA
-9.23993055555556,ambient,NA
-9.19824074074074,ambient,NA
-9.15658564814815,ambient,NA
-9.11491898148148,ambient,NA
-9.07325231481481,ambient,NA
-9.03158564814815,ambient,NA
-8.98990740740741,ambient,NA
-8.94825231481481,ambient,NA
-8.90658564814815,ambient,NA
-8.86493055555556,ambient,NA
-8.82325231481481,ambient,NA
-8.78158564814815,ambient,NA
-8.73991898148148,ambient,NA
-8.69825231481481,ambient,NA
-8.65658564814815,ambient,NA
-8.61491898148148,ambient,NA
-8.57326388888889,ambient,NA
-8.53158564814815,ambient,NA
-8.48991898148148,ambient,NA
-8.44825231481481,ambient,NA
-8.40658564814815,ambient,NA
-8.36491898148148,ambient,NA
-8.28158564814815,ambient,NA
-8.23994212962963,ambient,NA
-8.19825231481481,ambient,NA
-8.1566087962963,ambient,NA
-8.11493055555556,ambient,NA
-8.07326388888889,ambient,NA
-8.03159722222222,ambient,NA
-7.90659722222222,ambient,NA
-7.86494212962963,ambient,NA
-7.82325231481482,ambient,NA
-7.78158564814815,ambient,NA
-7.73991898148148,ambient,NA
-7.69824074074074,ambient,NA
-7.65658564814815,ambient,NA
-7.61491898148148,ambient,-9.638843490767288
-7.57324074074074,ambient,-9.713588131369928
-7.53159722222222,ambient,-10.82692535961398
-7.48990740740741,ambient,-11.163596904749546
-7.44825231481482,ambient,-11.275356810950111
-7.40657407407407,ambient,-11.220202916170045
-7.36491898148148,ambient,-10.947146835957517
-7.28157407407407,ambient,NA
-7.23993055555556,ambient,NA
