Campaign,Strata,Strategy,Flux,mrt_avg,mrt_sd
ambient,canopy,sensitive,stem,14.244772580358537,10.981583779294185
ambient,canopy,tolerant,stem,11.870174037225276,5.341763845361109
ambient,NA,NA,leaf,2.125344027620213,1.2313689500098954
drought,canopy,sensitive,stem,35.80750506123787,23.123952847680457
drought,canopy,tolerant,stem,91.29128842729253,107.14372976166243
drought,NA,NA,leaf,5.575997413573203,7.985652574237376
