hrel,VOC,Campaign,Delta
78,Monoterpene,Ambient,0.0034049131078569966
87,Monoterpene,Ambient,NA
88,Monoterpene,Ambient,NA
89,Monoterpene,Ambient,NA
90,Monoterpene,Ambient,NA
91,Monoterpene,Ambient,0.0016133786148379986
-23,Isoprene,Drought,5.043807254361612e-4
-22,Isoprene,Drought,4.005151725493608e-4
-21,Isoprene,Drought,-0.001350155532608338
-20,Isoprene,Drought,-0.001189309739406036
-19,Isoprene,Drought,-0.0011731929088440382
-18,Isoprene,Drought,-0.001273765195162438
-17,Isoprene,Drought,-0.00135021550540574
-16,Isoprene,Drought,-3.3134848490273816e-4
-15,Isoprene,Drought,0.0013062020536772634
-14,Isoprene,Drought,NA
-1,Isoprene,Drought,0.004456889414666557
0,Isoprene,Drought,0.06760881935608767
1,Isoprene,Drought,0.06220508966244967
2,Isoprene,Drought,0.05919022857400666
3,Isoprene,Drought,0.05444487841404766
4,Isoprene,Drought,0.05496743143680066
5,Isoprene,Drought,0.04367030367243967
6,Isoprene,Drought,0.03265100679315146
7,Isoprene,Drought,0.02625891754183897
8,Isoprene,Drought,NA
9,Isoprene,Drought,NA
22,Isoprene,Drought,0.001481376939270966
23,Isoprene,Drought,-9.739911195755374e-4
24,Isoprene,Drought,-0.0010063533626558374
25,Isoprene,Drought,-4.974336260859386e-4
26,Isoprene,Drought,0.0016194900997055645
27,Isoprene,Drought,0.0018307159877456666
28,Isoprene,Drought,0.002483646373935361
29,Isoprene,Drought,0.00436636908075827
30,Isoprene,Drought,NA
31,Isoprene,Drought,NA
32,Isoprene,Drought,NA
44,Isoprene,Drought,0.008234141388681962
45,Isoprene,Drought,0.003763103026441658
46,Isoprene,Drought,0.002593230666080762
47,Isoprene,Drought,-0.001368740014972336
48,Isoprene,Drought,-0.0017864483865369374
49,Isoprene,Drought,-0.0017335742394623335
50,Isoprene,Drought,0.001191537084587066
51,Isoprene,Drought,0.0029901617303786654
52,Isoprene,Drought,NA
53,Isoprene,Drought,NA
54,Isoprene,Drought,NA
55,Isoprene,Drought,NA
66,Isoprene,Drought,0.0029388938970586614
67,Isoprene,Drought,-0.003403360133827034
68,Isoprene,Drought,-0.0024217633515624393
69,Isoprene,Drought,6.070501946120604e-4
70,Isoprene,Drought,2.1294446397506633e-4
71,Isoprene,Drought,1.2195510545146004e-4
72,Isoprene,Drought,-5.964703583792377e-4
73,Isoprene,Drought,0.0024557510302779667
74,Isoprene,Drought,NA
75,Isoprene,Drought,NA
76,Isoprene,Drought,NA
77,Isoprene,Drought,NA
78,Isoprene,Drought,NA
87,Isoprene,Drought,0.007094223603989966
88,Isoprene,Drought,0.00564748317641546
89,Isoprene,Drought,0.0018466715414402618
90,Isoprene,Drought,0.0023222469383468655
91,Isoprene,Drought,0.0033274096099216582
-23,Monoterpene,Drought,-0.001947122000474491
-22,Monoterpene,Drought,-0.005028627843837494
-21,Monoterpene,Drought,0.0022462808201555023
-20,Monoterpene,Drought,0.0018437599258035037
-19,Monoterpene,Drought,0.001809279260159502
-18,Monoterpene,Drought,-0.0011424641102104893
-17,Monoterpene,Drought,0.0026243180593674975
-16,Monoterpene,Drought,7.022079909835e-4
